name,card_number,class,form_teacher_one,form_teacher_two,teachers_emails
Jotham Lim,T0312345A,2S,Ms Yong Tau Foo,Mr LSK,"czhdaniel@gmail.com,jothamlimjlj@gmail.com"
Sirboi Tan,T0423123H,3F,Ms Yong Tau Foo,Mr LSK,"czhdaniel@gmail.com,jothamlimjlj@gmail.com"
Binner Neo,T0098765A,3G,Ms Yong Tau Foo,Mr LSK,"czhdaniel@gmail.com,jothamlimjlj@gmail.com"
Nigel Ng,T0369696A,1A,Mrs OWL,Mrs Neo,"czhdaniel@gmail.com,jothamlimjlj@gmail.com"
LYH,T037154L,2I,Ms Yong Tau Foo,Mr LSK,"czhdaniel@gmail.com,jothamlimjlj@gmail.com"
Paper Clips,6.92E+12,1B,Mr Sir, Ms Tay,"czhdaniel@gmail.com,jothamlimjlj@gmail.com"
Romeo and Juliet,24543642190,1B,Mr Sir, Ms Tay,"czhdaniel@gmail.com,jothamlimjlj@gmail.com"
Book,9.79E+12,1B,Mr Sir, Ms Tay,"czhdaniel@gmail.com,jothamlimjlj@gmail.com"
Refills,4.98E+12,1B,Mr Sir, Ms Tay,"czhdaniel@gmail.com,jothamlimjlj@gmail.com"
Earphones,1.90E+11,1B,Mr Sir, Ms Tay,"czhdaniel@gmail.com,jothamlimjlj@gmail.com"
